keyword,word,count
bitcoin,bitcoin,131
bitcoin,crypto,39
bitcoin,digital,27
bitcoin,stock,25
bitcoin,exchange,25
bitcoin,etfs,22
bitcoin,asset,21
bitcoin,december,18
bitcoin,custody,18
bitcoin,global,16
bitcoin,cnbc,16
bitcoin,cryptocurrency,15
bitcoin,trading,15
bitcoin,self,15
bitcoin,financial,13
bitcoin,world,13
bitcoin,price,13
bitcoin,holding,13
bitcoin,btc,11
bitcoin,company,11
rare earth,china,40
rare earth,rare,40
rare earth,earth,40
rare earth,material,26
rare earth,mining,21
rare earth,export,19
rare earth,stock,19
rare earth,trade,16
rare earth,com,13
rare earth,production,13
rare earth,supply,13
rare earth,tariff,13
rare earth,new,12
rare earth,price,11
rare earth,mexico,11
rare earth,chinese,10
rare earth,year,10
rare earth,chain,10
rare earth,critical,10
rare earth,mineral,10
tesla,tesla,98
tesla,model,46
tesla,consumer,28
tesla,report,28
tesla,reliability,26
tesla,new,15
tesla,musk,14
tesla,sale,13
tesla,ranking,13
tesla,year,11
tesla,car,11
tesla,vehicle,10
tesla,top,10
tesla,brand,10
tesla,company,9
tesla,electric,9
tesla,tsla,9
tesla,update,9
tesla,data,8
tesla,long,8